date_day,close,high,last,low,open,max_volume,avg_volume
2021-02-04,274.17,279.405,279.38,275.51,275.51,2802674.0,94136.0
2021-02-05,278.82,281.72,281.53,279.19,279.19,2975976.0,51534.0
2021-02-06,278.82,281.7599,278.86,277.81,280.29,2389915.0,2389915.0
2021-02-08,278.86,280.39,280.07,278.68,279.62,119986.0,66264.0
2021-02-09,280.03,280.4194,280.1,279.28,279.69,3475827.0,55418.0
2021-02-10,280.03,280.2,278.85,278.27,279.66,2479796.0,65248.0
2021-02-11,278.69,280.145,280.09,278.24,278.24,2399284.0,64062.0
2021-02-12,278.69,280.25,278.65,277.13,277.93,2595287.0,35943.0
2021-02-13,277.06,278.71,277.51,276.58,277.12,2392184.0,2392184.0
2021-02-16,277.51,278.77,278.77,278.77,278.77,105664.0,45548.5
2021-02-17,277.51,281.77,281.71,275.21,277.01,2873454.0,67789.0
2021-02-18,280.92,284.64,284.53,280.07,280.07,3528500.0,81869.0
2021-02-19,283.05,284.68,283.77,283.0,283.0,3531964.0,62642.5
2021-02-20,283.05,283.91,279.64,279.44,282.87,4079946.0,4079946.0
2021-02-22,279.64,278.99,278.8,278.8,278.8,185082.0,112229.0
2021-02-23,279.64,278.49,275.85,273.63,278.21,3950996.0,458297.0
2021-02-24,275.85,269.67,269.42,269.42,269.42,12111045.0,417784.5
2021-02-25,267.24,266.99,260.68,260.51,263.23,14512744.0,242341.0
2021-02-26,259.97,260.9,260.175,256.09,259.75,6526762.0,174663.0
2021-02-27,255.25,260.24,258.34,256.1105,257.77,7844158.0,7844158.0
2021-03-01,258.34,262.435,262.435,260.6,260.6,174987.0,95138.0
2021-03-02,261.62,263.08,263.01,261.71,261.71,4530280.0,100974.5
2021-03-03,260.29,260.65,260.65,260.65,260.65,185697.0,68498.0
2021-03-04,257.36,256.815,256.74,256.55,256.55,274493.0,163626.0
2021-03-05,250.93,254.17,254.15,250.24,250.24,223810.0,120690.0
2021-03-08,253.52,263.19,263.14,254.0,254.0,160882.0,72563.0
2021-03-09,259.03,267.555,267.51,261.0,261.0,334426.0,225626.0
2021-03-10,264.96,268.74,268.74,264.29,264.29,101151.0,54935.0
2021-03-15,273.1,279.64,279.63,273.89,273.89,253011.0,146675.0
2021-03-16,278.54,282.53,282.51,278.65,278.65,261242.0,115582.0
2021-03-17,282.08,283.84,283.78,281.09,281.09,255050.0,119138.5
2021-03-18,280.03,285.44,285.35,279.53,279.83,252283.0,126586.0
2021-03-19,283.16,288.6,288.49,283.09,283.09,302359.0,126311.0
2021-03-22,289.1,290.325,290.25,288.53,288.53,209964.0,91604.5
2021-03-23,288.94,293.26,293.09,288.16,288.16,207511.0,103404.0
2021-03-24,289.98,296.74,296.665,290.69,290.69,177767.0,73420.0
2021-03-25,292.75,297.85,297.53,291.72,291.72,163833.0,92457.0
2021-03-26,297.18,303.97,303.64,296.62,297.805,191314.0,103593.0
2021-03-29,303.81,305.5,305.5,301.93,302.6,64751.0,36192.0
2021-04-01,305.25,308.55,308.525,306.34,306.34,4744061.0,90468.0
2021-04-05,307.75,315.82,315.82,309.59,310.265,144381.0,57179.5
2021-04-06,315.4,315.92,315.9,313.51,313.62,169656.0,85612.0
2021-04-07,313.78,315.14,314.9,312.47,312.47,225827.0,116929.0
2021-04-08,312.47,315.25,315.2,312.17,312.17,150556.0,85978.0
2021-04-09,314.43,319.16,319.085,314.17,314.17,151346.0,65514.0
2021-04-12,319.23,321.295,321.22,318.25,318.25,140391.0,70263.0
2021-04-13,320.79,320.905,320.85,319.81,319.81,104746.0,64982.0
2021-04-14,320.4,322.67,322.67,320.02,320.26,183417.0,93589.0
2021-04-15,320.02,323.38,323.34,320.68,320.68,124220.0,70714.0
2021-04-16,322.74,328.66,328.535,324.0,324.47,150870.0,98223.0
2021-04-19,328.08,328.785,328.76,327.89,327.89,142152.0,77116.0
2021-04-20,326.85,327.61,327.47,325.56,326.07,187167.0,109778.0
2021-04-21,323.96,327.87,327.87,324.53,325.09,174448.0,107044.0
2021-04-22,325.95,326.28,326.25,325.96,325.96,166334.0,62196.5
2021-04-23,321.46,325.51,325.37,321.98,322.49,225976.0,113662.0
2021-04-26,323.89,324.04,323.61,323.44,323.975,215820.0,128243.0
2021-04-27,319.99,322.4,322.4,320.6,320.92,184657.0,95268.0
2021-04-28,320.59,322.935,322.845,321.38,321.515,169741.0,101503.0
2021-04-29,319.71,325.77,325.73,320.82,320.82,180700.0,101626.0
2021-04-30,325.34,325.79,325.37,323.51,323.51,140789.0,74225.0
2021-05-03,323.67,331.565,331.55,325.84,326.32,85844.0,41278.0
2021-05-04,330.27,333.05,332.745,329.77,329.92,126283.0,76974.0
2021-05-05,332.77,335.63,335.45,333.25,333.25,184151.0,72945.5
2021-05-06,332.05,337.81,337.62,333.24,333.35,112665.0,68243.0
2021-05-07,337.58,339.8,339.73,337.21,338.29,123375.0,58335.5
2021-05-10,339.25,345.675,345.64,339.95,339.95,252262.0,117059.0
2021-05-11,341.12,339.55,339.55,338.59,339.31,228724.0,156904.0
2021-05-12,330.66,329.99,329.99,329.99,329.99,175463.0,94277.5
2021-05-13,317.0,327.415,327.35,317.99,317.99,241595.0,99241.5
2021-05-14,325.42,327.89,327.89,327.08,327.77,164057.0,73148.0
2021-05-17,323.63,323.27,323.27,322.36,322.47,191911.0,91099.5
2021-05-18,320.01,327.0,326.9,326.06,326.89,280610.0,160050.5
2021-05-19,316.75,314.69,314.58,312.83,312.83,213273.0,142668.0
2021-05-20,314.45,319.635,319.61,314.21,314.24,170659.0,69705.5
2021-05-21,315.9,319.305,319.0,318.51,318.51,202602.0,74725.0
2021-05-24,315.77,318.66,318.63,316.51,316.51,134663.0,58967.5
2021-05-25,314.84,317.14,317.05,315.12,315.12,164224.0,111846.0
2021-05-26,316.75,321.23,320.88,317.65,317.87,137841.0,83385.0
2021-05-27,317.33,320.42,320.39,317.56,317.57,129414.0,70479.0
2021-05-28,318.77,321.56,321.38,319.8,319.8,107886.0,60820.5
2021-06-01,318.91,321.24,320.93,320.56,320.56,142402.0,70663.0
2021-06-02,316.31,316.75,316.58,314.95,315.35,87275.0,49546.0
2021-06-03,313.23,312.85,312.79,311.28,311.28,107206.0,66948.0
